CandidateID,Skills,Interests,Hobbies,Work_Style,Career_Goals,Recommended_Career,Career_Category,Intermediate_Path,Salary_PKR_Monthly
415,C++;Android Development;Data Analysis;Node.js;DevOps,Cloud Technology;Data Science;Problem Solving,Building PCs,Analyzing data and finding patterns,High salary and financial freedom,Network Engineer,IT & Data,ICS (Pre-Engineering),160000
416,CA;Investment Analysis;IFRS;Budgeting;Auditing,Business;Entrepreneurship;Finance,Networking Events;Tracking Stock Markets,Analyzing financial reports,Work in banking sector;Work in government finance departments,Banker,Finance & Commerce,ICOM (Commerce),220000
417,International Relations;Litigation;Constitutional Law;Tax Law;Public Speaking,Justice;International Affairs,Public Speaking;Reading History Books,Public speaking and presentations,Pass CSS exams,Economist,Law & Social Sciences,FA (Arts) or FSc,250000
418,Banking Operations;Auditing;Economics;Corporate Finance,Law;Entrepreneurship,Reading Business News,Working with numbers and data,Achieve professional certification,ACCA Accountant,Finance & Commerce,ICOM (Commerce),160000
419,Project Management;CRM;Supply Chain;HR Management;Logistics,Team Work;Operations;People,Watching Entrepreneurship Videos,Working in a fast-paced environment,Work in top companies;Lead a team,Business Analyst,Business & Marketing,ICOM (Commerce),105000
420,Content Writing;SEO;CRM;Brand Management;Sales,Marketing;Social Media;Branding,Starting Small Businesses,Leading teams and projects,Build a brand;Work in corporate sector,HR Manager,Business & Marketing,ICOM (Commerce),110000
421,Medical Research;Patient Care;Clinical Skills,Research;Patient Care;Human Body,Reading Medical Journals;Playing Sports,Making critical decisions,Help and save lives;Open my own clinic,Psychologist,Medical & Health,FSc Pre-Medical,85000
422,Deep Learning;C++;Flutter,Research;Mobile Apps;Cloud Technology,Building Robots,Working independently with deadlines,Achieve financial independence early;Build innovative products,Cybersecurity Analyst,IT & Data,ICS (Pre-Engineering),235000
423,Corporate Law;Tax Law;Foreign Policy;Legal Research,Economics;Debating;Research,Debating,Public speaking and presentations,Work in international law;Pass CSS exams,Economist,Law & Social Sciences,FA (Arts) or FSc,220000
424,Networking;Unity;Python,Cybersecurity;Gaming,Reading Tech Blogs;Watching Tech YouTube,Analyzing data and finding patterns,Build innovative products,AI Engineer,IT & Data,ICS (Pre-Engineering),265000
425,Subject Knowledge;Content Creation;GIS;Broadcasting;Agriculture,Communication;Community Service;Writing,Reading Books,Teaching and explaining concepts,Work for environmental causes;Serve the community through education,Agricultural Officer,Education & Media,FA (Arts) or FSc,60000
426,Sustainability;Agriculture;Journalism;GIS;Broadcasting,Writing;Community Service;Agriculture,Writing Stories,Writing and communicating ideas,Work in NGOs and international organizations,Environmental Scientist,Education & Media,FA (Arts) or FSc,100000
427,React;Git;Flutter;AWS,Cybersecurity;Software Development;Artificial Intelligence,Participating in Hackathons;Reading Tech Blogs,Solving logical problems,Work in top global companies,Game Developer,IT & Data,ICS (Pre-Engineering),110000
428,Foreign Policy;SECP Regulations;Corporate Law;Research Methods,Debating;Economics;Law,Volunteering;Debating,Research and writing,Influence policy making,Lawyer,Law & Social Sciences,FA (Arts) or FSc,295000
429,Biology;First Aid;Physiology;Biochemistry;Pathology,Biology;Community Service,First Aid Training,Working directly with people,Open my own clinic;Work in government hospitals,Dentist,Medical & Health,FSc Pre-Medical,155000
430,Auditing;Taxation;IFRS,Accounting;Stock Market;Banking,Debating,Working independently on accounts,Achieve professional certification,Banker,Finance & Commerce,ICOM (Commerce),150000
431,Linux;Deep Learning;SQL;Computer Vision,Cloud Technology;Mobile Apps,Solving Puzzles,Building and creating software,Achieve financial independence early,Mobile App Developer,IT & Data,ICS (Pre-Engineering),95000
432,Drafting;Foreign Policy;International Relations,History;Government;International Affairs,Debating,Working with policies and regulations,Work in government sector;Work in international law,Economist,Law & Social Sciences,FA (Arts) or FSc,270000
433,Project Management;Logistics;Content Writing;HR Management;Brand Management,Strategy;Operations;Sales,Watching Entrepreneurship Videos;Running Social Media Pages,Leading teams and projects,Lead a team,Marketing Manager,Business & Marketing,ICOM (Commerce),100000
434,Drafting;International Relations;Foreign Policy;Tax Law,Human Rights;History,Watching Documentaries,Analytical and critical thinking,Serve the public;High social status,Economist,Law & Social Sciences,FA (Arts) or FSc,355000
435,Illustrator;Branding;Interior Design;Figma;Fashion Design,Photography;Interior Decoration,Watching Design Videos;Painting,Using creative tools and software,Build a design portfolio,Interior Designer,Design & Creative,FA (Arts) or ICS,145000
436,Pharmacology;Medical Research;Microbiology,Healthcare;Wellness,Reading Medical Journals;Volunteering at Hospitals,Making critical decisions,Specialize in medicine;Serve the community,Doctor (MBBS),Medical & Health,FSc Pre-Medical,170000
437,Pattern Making;Typography;Wireframing;Figma;Branding,Photography;Digital Media;Visual Arts,Photography,Flexible working hours,Earn through passion;Work as a freelance designer,Video Editor,Design & Creative,FA (Arts) or ICS,95000
438,Photography;Content Creation;Agriculture;Curriculum Development,Environment;Teaching;Children,Writing Stories;Volunteering at Schools,Conducting research and fieldwork,Become a respected journalist,Environmental Scientist,Education & Media,FA (Arts) or FSc,85000
439,TensorFlow;Artificial Intelligence;Cybersecurity,Mobile Apps;Programming,Watching Tech YouTube;Playing Video Games,Working alone on focused tasks,Build innovative products,Web Developer,IT & Data,ICS (Pre-Engineering),295000
440,Premiere Pro;Prototyping;Wireframing,Aesthetics;Media;Drawing,Fashion Styling,Flexible working hours,Work in media and advertising,Graphic Designer,Design & Creative,FA (Arts) or ICS,105000
441,SEO;Communication;Negotiation;CRM;Supply Chain,Leadership;Business;Social Media,Sports,Working with people and clients,Work in corporate sector;Start my own business,Digital Marketer,Business & Marketing,ICOM (Commerce),120000
442,Banking Operations;Stock Market;Financial Modeling;Portfolio Management;Financial Reporting,Business;Economics,Business Case Studies;Solving Puzzles,Analyzing financial reports,Become a CA or ACCA qualified;Manage large investments,Investment Analyst,Finance & Commerce,ICOM (Commerce),90000
443,Computer Vision;Java;Deep Learning;JavaScript;Artificial Intelligence,Programming;Automation;Innovation,Watching Tech YouTube;Reading Tech Blogs,Working with computers all day,Solve real-world tech problems;Contribute to AI research,Data Scientist,IT & Data,ICS (Pre-Engineering),205000
444,Video Editing;Premiere Pro;Interior Design;Branding,Drawing;Art,Painting,Working on design projects independently,Work in media and advertising;Start a creative agency,UX/UI Designer,Design & Creative,FA (Arts) or ICS,45000
445,Pathology;Psychology;Patient Care,Wellness;Community Service,Reading Medical Journals,Following structured procedures,Achieve social respect;Open my own clinic,Dentist,Medical & Health,FSc Pre-Medical,160000
446,Negotiation;Public Speaking;Research Methods,Policy Making;Law,Debating;Watching Documentaries,Working with government and institutions,High social status;Serve the public,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,280000
447,Recruitment;Business Strategy;Logistics;Digital Marketing,Strategy;Marketing;Sales,Debating,Leading teams and projects,Become a marketing leader,Supply Chain Manager,Business & Marketing,ICOM (Commerce),155000
448,MATLAB;Power Systems;Civil Design;AutoCAD;Thermodynamics,Electronics;Mathematics;Problem Solving,Astronomy,Working on site and in offices,High salary in engineering firms;Work on mega projects,Mechanical Engineer,Engineering,FSc Pre-Engineering,145000
449,After Effects;Adobe XD;Wireframing;Pattern Making;Figma,Design;Colors,Watching Design Videos,Expressing ideas visually,Start a creative agency;Express creativity professionally,Fashion Designer,Design & Creative,FA (Arts) or ICS,55000
450,Content Creation;Public Speaking;Sustainability,Community Service;Media;Research,Teaching Younger Students;Photography,Writing and communicating ideas,Serve the community through education,Environmental Scientist,Education & Media,FA (Arts) or FSc,45000
451,Mechanics;CAD;Urban Planning;Project Management,Machines;Problem Solving;Construction,Electronics Tinkering;Scale Modelling,Using tools and equipment,Solve structural challenges;Contribute to national development,Electrical Engineer,Engineering,FSc Pre-Engineering,115000
452,Sales;Agile;Leadership;Content Writing;Negotiation,Sales;Management,Starting Small Businesses;Networking,Creative and strategic thinking,Start my own business;Become a marketing leader,Marketing Manager,Business & Marketing,ICOM (Commerce),170000
453,Broadcasting;Reporting;Teaching,Research;Community Service,Volunteering at Schools;Photography,Conducting research and fieldwork,Raise awareness through media;Work in NGOs and international organizations,Teacher,Education & Media,FA (Arts) or FSc,75000
454,Video Editing;Branding;UI Design,Storytelling;Art;Aesthetics,Interior Decoration,Working creatively and freely,Start a creative agency;Work as a freelance designer,Graphic Designer,Design & Creative,FA (Arts) or ICS,155000
455,Stock Market;Corporate Finance;Economics;Accounting,Money Management;Economics,Tracking Stock Markets;Entrepreneurship Blogs,Working under strict deadlines,Financial independence and high salary,Investment Analyst,Finance & Commerce,ICOM (Commerce),235000
456,Android Development;Unity;Java;Git,Cloud Technology;Innovation,Participating in Hackathons,Solving logical problems,Solve real-world tech problems,Mobile App Developer,IT & Data,ICS (Pre-Engineering),125000
457,Pattern Making;Color Theory;After Effects;Photoshop,Digital Media;Photography,Creating Digital Art;Drawing and Sketching,Working on design projects independently,Earn through passion,Interior Designer,Design & Creative,FA (Arts) or ICS,135000
458,Machine Learning;Data Analysis;Git;Cybersecurity;TensorFlow,Programming;Innovation;Artificial Intelligence,Open Source Contribution,Working with computers all day,High salary and financial freedom;Work in top global companies,Game Developer,IT & Data,ICS (Pre-Engineering),220000
459,Sustainability;Writing;Reporting;Research,Community Service;Research;Journalism,Gardening;Watching Documentaries,Flexible and creative work environment,Job stability in government;Make a difference in society,Teacher,Education & Media,FA (Arts) or FSc,120000
460,Architecture Design;Robotics;Power Systems,Construction;Building Things,Building Models,Building and constructing things,High salary in engineering firms,Architect,Engineering,FSc Pre-Engineering,140000
461,Broadcasting;Research;Content Creation,Broadcasting;Communication;Children,Blogging,Flexible and creative work environment,Become a respected journalist;Work for environmental causes,Teacher,Education & Media,FA (Arts) or FSc,120000
462,Financial Reporting;Accounting;Portfolio Management;CA;IFRS,Banking;Business,Reading Business News;Managing Personal Budget,Making financial decisions,Work in top accounting firms,Banker,Finance & Commerce,ICOM (Commerce),95000
463,GIS;Public Speaking;Climate Analysis,Social Work;Teaching,Reading Books;Blogging,Broadcasting and reporting,Make a difference in society,Agricultural Officer,Education & Media,FA (Arts) or FSc,120000
464,AutoCAD;Electrical Systems;CAD;Manufacturing,Robotics;Construction,Visiting Construction Sites,Hands-on practical work,Work abroad in engineering;Build infrastructure for Pakistan,Architect,Engineering,FSc Pre-Engineering,170000
465,Power Systems;Project Management;Civil Design;Construction Management,Science;Robotics;Innovation,Reading Science Magazines,Using tools and equipment,Contribute to national development;High salary in engineering firms,Electrical Engineer,Engineering,FSc Pre-Engineering,105000
466,AWS;Unity;TensorFlow;Python;JavaScript,Gaming;Research,Participating in Hackathons,Working alone on focused tasks,Achieve financial independence early,Mobile App Developer,IT & Data,ICS (Pre-Engineering),215000
467,Cybersecurity;Computer Vision;DevOps;Node.js;Database Management,Programming;Artificial Intelligence,Solving Puzzles,Building and creating software,Work in top global companies;Solve real-world tech problems,AI Engineer,IT & Data,ICS (Pre-Engineering),225000
468,Fashion Design;Color Theory;Figma;UX Research,Media;Interior Decoration,Drawing and Sketching,Collaborating with clients,Earn through passion;Start a creative agency,UX/UI Designer,Design & Creative,FA (Arts) or ICS,150000
469,Stock Market;Portfolio Management;Accounting;Credit Analysis,Accounting;Business,Networking Events,Working with numbers and data,Start a financial consultancy,Financial Analyst,Finance & Commerce,ICOM (Commerce),230000
470,Negotiation;Social Media;HR Management;Logistics;CRM,Management;Team Work,Public Speaking;Watching Entrepreneurship Videos,Building relationships,Work in top companies;Start my own business,Supply Chain Manager,Business & Marketing,ICOM (Commerce),95000
471,Docker;JavaScript;Deep Learning,Artificial Intelligence;Problem Solving;Software Development,Math Competitions;Building Robots,Working alone on focused tasks,Work remotely and freelance globally;Achieve financial independence early,Cybersecurity Analyst,IT & Data,ICS (Pre-Engineering),150000
472,Leadership;Supply Chain;Market Research,Leadership;Sales,Running Social Media Pages,Working with people and clients,Grow professionally in business;Lead a team,HR Manager,Business & Marketing,ICOM (Commerce),185000
473,Research;Broadcasting;Soil Science;Public Speaking,Writing;Children,Nature Walks,Conducting research and fieldwork,Raise awareness through media;Work for environmental causes,Teacher,Education & Media,FA (Arts) or FSc,110000
474,Civil Design;Robotics;Construction Management,Building Things;Robotics;Science,Electronics Tinkering,Working with calculations and designs,Solve structural challenges;Work abroad in engineering,Civil Engineer,Engineering,FSc Pre-Engineering,100000
475,Business Strategy;E-commerce;Sales,Leadership;Communication,Starting Small Businesses;Reading Business Books,Creative and strategic thinking,Work in corporate sector,HR Manager,Business & Marketing,ICOM (Commerce),80000
476,Public Speaking;Crop Science;Environmental Science,Communication;Research;Agriculture,Photography;Volunteering at Schools,Flexible and creative work environment,Work for environmental causes;Raise awareness through media,Teacher,Education & Media,FA (Arts) or FSc,95000
477,Auditing;Stock Market;Financial Reporting;Portfolio Management;Taxation,Numbers;Business,Networking Events,Making financial decisions,Manage large investments;Become a CA or ACCA qualified,Financial Analyst,Finance & Commerce,ICOM (Commerce),275000
478,International Relations;Contract Law;Drafting;Negotiation,Government;Economics,Traveling,Research and writing,Achieve justice and fairness;Pass CSS exams,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,335000
479,Project Management;ERP Systems;Brand Management;Negotiation,Branding;Entrepreneurship;Management,Reading Business Books,Traveling and networking,Work in top companies;Start my own business,Marketing Manager,Business & Marketing,ICOM (Commerce),115000
480,SECP Regulations;Legal Research;Foreign Policy,Politics;Research,Volunteering;Debating,Research and writing,Work in international law;Work in government sector,Corporate Lawyer,Law & Social Sciences,FA (Arts) or FSc,320000
481,Illustrator;3D Visualization;Photoshop;Figma,Digital Media;Drawing;Colors,Photography;Drawing and Sketching,Using creative tools and software,Start a creative agency;Build a recognizable brand,Video Editor,Design & Creative,FA (Arts) or ICS,180000
482,Business Strategy;SEO;Project Management;Digital Marketing,Team Work;Branding,Sports;Debating,Traveling and networking,Grow professionally in business;Work in top companies,Digital Marketer,Business & Marketing,ICOM (Commerce),75000
483,Content Writing;Market Research;Logistics;Negotiation,Entrepreneurship;Sales;Operations,Writing Blogs;Running Social Media Pages,Communicating with different stakeholders,Grow professionally in business,HR Manager,Business & Marketing,ICOM (Commerce),110000
484,Robotics;CAD;Structural Analysis,Problem Solving;Construction,Astronomy,Building and constructing things,Start my own construction company;High salary in engineering firms,Architect,Engineering,FSc Pre-Engineering,115000
485,Power Systems;Urban Planning;Architecture Design;MATLAB;Mechanics,Machines;Infrastructure,Sketching Structures;DIY Projects,Working in teams on large projects,Job stability in government;Solve structural challenges,Electrical Engineer,Engineering,FSc Pre-Engineering,155000
486,Electrical Systems;Robotics;Thermodynamics;Urban Planning;CAD,Problem Solving;Innovation,Playing with Lego,Working in teams on large projects,Job stability in government,Mechanical Engineer,Engineering,FSc Pre-Engineering,90000
487,Video Editing;Wireframing;Color Theory;UX Research;3D Visualization,Art;Creativity;Drawing,DIY Crafts;Creating Digital Art,Expressing ideas visually,Build a design portfolio;Work as a freelance designer,Graphic Designer,Design & Creative,FA (Arts) or ICS,170000
488,Counseling;Microbiology;Medical Research,Nutrition;Mental Health;Science,Helping Neighbors,Helping and caring for others,Serve the community;Work in government hospitals,Psychologist,Medical & Health,FSc Pre-Medical,250000
489,Sketching;Illustrator;Figma,Fashion;Design;Visual Arts,Reading Design Books;DIY Crafts,Using creative tools and software,Start a creative agency;Earn through passion,UX/UI Designer,Design & Creative,FA (Arts) or ICS,65000
490,Dentistry;Biochemistry;Pathology,Science;Community Service,Volunteering at Hospitals;First Aid Training,Working in a team of professionals,Do medical research;Specialize in medicine,Psychologist,Medical & Health,FSc Pre-Medical,70000
491,Journalism;Broadcasting;Content Creation;Soil Science,Broadcasting;Social Work,Blogging,Conducting research and fieldwork,Serve the community through education;Work in NGOs and international organizations,Environmental Scientist,Education & Media,FA (Arts) or FSc,115000
492,Interior Design;Premiere Pro;Illustrator;Branding;Color Theory,Drawing;Creativity,Painting,Expressing ideas visually,Start a creative agency,Interior Designer,Design & Creative,FA (Arts) or ICS,145000
493,Auditing;Budgeting;Corporate Finance;Risk Management;Credit Analysis,Accounting;Finance,Tracking Stock Markets,Working under strict deadlines,Financial independence and high salary,ACCA Accountant,Finance & Commerce,ICOM (Commerce),210000
494,Subject Knowledge;Agriculture;Environmental Science,Teaching;Agriculture,Community Work;Reading Books,Writing and communicating ideas,Contribute to agricultural development,Journalist,Education & Media,FA (Arts) or FSc,55000
495,Mental Health;Physiology;Medical Research,Human Body;Mental Health,Helping Neighbors,Working in a team of professionals,Work in government hospitals,Doctor (MBBS),Medical & Health,FSc Pre-Medical,120000
496,Subject Knowledge;Journalism;Writing,Broadcasting;Media;Social Work,Reading Books;Photography,Community engagement,Work in NGOs and international organizations;Contribute to agricultural development,Environmental Scientist,Education & Media,FA (Arts) or FSc,90000
497,TensorFlow;Linux;SQL,Software Development;Data Science;Programming,Watching Tech YouTube,Solving logical problems,Solve real-world tech problems,Cloud Engineer,IT & Data,ICS (Pre-Engineering),215000
498,Civil Design;Mechanics;Site Supervision,Robotics;Mathematics;Science,Playing with Lego,Working with calculations and designs,High salary in engineering firms,Electrical Engineer,Engineering,FSc Pre-Engineering,135000
499,Diagnosis;Psychology;Counseling,Wellness;Healthcare;Helping People,Cooking Healthy Food;Volunteering at Hospitals,Working directly with people,Work in government hospitals;Achieve social respect,Nurse,Medical & Health,FSc Pre-Medical,280000
500,Counseling;Diagnosis;Psychology;Patient Care;Microbiology,Helping People;Mental Health,Helping Neighbors,Working in a clinical environment,Help and save lives,Nurse,Medical & Health,FSc Pre-Medical,145000
501,Content Writing;Recruitment;Negotiation;Supply Chain,Sales;Entrepreneurship,Volunteering;Running Social Media Pages,Working in a fast-paced environment,Grow professionally in business,HR Manager,Business & Marketing,ICOM (Commerce),195000
502,Adobe XD;UX Research;After Effects;UI Design;Photoshop,Fashion;Colors;Drawing,Fashion Styling;Interior Decoration,Collaborating with clients,Work as a freelance designer,Video Editor,Design & Creative,FA (Arts) or ICS,95000
503,Drafting;Legal Research;Constitutional Law,Politics;History,Writing Articles,Working with government and institutions,Pass CSS exams,Diplomat/CSS Officer,Law & Social Sciences,FA (Arts) or FSc,120000
504,Medical Research;Anatomy;Mental Health,Community Service;Mental Health,Animal Care,Long shifts with high responsibility,Specialize in medicine,Dentist,Medical & Health,FSc Pre-Medical,115000
